Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
aardvark,6.26,2.41,6.18,6,3,02.07,6.12,6.36,2.56,2.31
abalone,5.3,2.65,5.71,05.08,2.56,2.73,5,5.78,2.75,2.58
abandon,2.84,3.73,2.45,3.57,4.5,3.29,2.75,2.91,3.78,3.69
abandonment,2.63,4.95,2.17,2.85,4.3,5.55,3.27,1.75,4.55,5.4
abbey,5.85,2.2,4.75,6.12,4,1.75,5.88,5.83,2.44,2
abdomen,5.43,3.68,5.3,5.55,3,4,5.64,5.2,3.4,3.76
abdominal,4.48,3.5,4.36,4.58,2.6,3.88,4.8,3.88,3.75,3.33
abduct,2.42,5.9,2.38,2.5,5,6.2,3.33,1.6,6,5.85
abduction,02.05,5.33,2.67,1.77,5.25,5.38,2.5,1.56,5.78,5
abide,5.52,3.26,5,5.92,4.45,2.17,4.29,6.23,04.09,2.5
abiding,5.57,3.59,5.5,5.6,3.8,3.42,5.83,5.27,3.45,3.73
ability,7,4.85,7.2,6.93,5.62,4.33,7,7,4.78,4.91
abject,4,3.94,4.45,3.38,4.75,3.69,4.12,3.91,3.83,4
ablaze,5.15,6.75,5.12,5.17,6.8,6.73,4.92,5.5,6.58,7
able,6.64,3.38,6.67,6.53,2.71,3.71,6.29,7.14,2.78,3.83
abnormal,3.53,4.48,4.33,3.38,4.88,4.23,3.11,3.9,4.56,4.42
abnormality,03.05,5,2.55,4.14,6.5,4.14,3.5,2.73,5.44,4.69
abode,5.28,2.9,6,5.13,2.67,3,5.4,5.12,3.29,2.71
abolish,3.84,4.18,4.18,3.38,5,3.92,3.88,3.82,4.57,3.9
abominable,04.05,5.45,3.78,4.27,6,5,4.14,3.83,5,5.71
abomination,2.5,5.9,3,2.31,6.64,5,2.71,2.36,4.56,7
abort,3.1,5.8,2.91,3.33,5.71,5.85,3.27,2.89,6.36,5.11
abortion,2.58,5.43,2.8,2.5,4.93,5.64,2.8,2.33,5.61,5.25
